uid,start,end,all_day,venue,doors,showtime,live_start,live_end,meet_start,meet_end,summary,location,description,status,recurrence,last_modified
55su49jbtdoa3r26p23691ba55@google.com,2025-08-23,2025-08-23,yes,,,,,,,,全員配信,,"8/23(土)19:00よりYouTubeLiveにて全員配信(アーカイブあり)を行います。配信中にメンバーがお客様からの質問に答えるコーナーあり、ここで初出しも情報あり！また、配信時の私服チェキ販売(一言コメントあり)を行います。
※オンラインチェキ会ではございませんのでご注意ください。

■チェキ販売サイト
https://sova.official.ec/items/116544775

■質問受付
https://forms.gle/nA9fHmCgZE7bDncj7

■配信URL
https://youtube.com/live/li2uaNEdfZM?feature=share",CONFIRMED,,20250821T100240Z
0vcbpbvduarfb2en37r01k8abv@google.com,2025-09-08,2025-09-08,yes,,,,,,,,浴衣にて全員配信,,"9/8(月)20:00よりYouTubeLiveにて浴衣を着用して全員配信(アーカイブあり)を行います。また、コメント付きチェキの販売も予定しております。販売サイトは現在準備中ですので、今しばらくお待ちください。
※オンラインチェキ会ではございません。

■配信URL
https://youtube.com/live/TyWKsi2gwoY?feature=share",CONFIRMED,,20250904T113141Z
1cd5nd8bicv5rt12h9no8andke@google.com,2025-09-13,2025-09-13,yes,Veats SHIBUYA,11:30,12:00,,,,,【プレデビューイベント】airattic presents 「ATTIC PARADE」,,"9月13日(土)@ Veats SHIBUYA
airattic presents 「ATTIC PARADE」
開場 11:30 / 開演 12:00
チケット 前売 ¥4,000 / 当日 ¥5,000（+1D）
※持ち時間は短め、ロゴTシャツで出演予定

■チケット抽選サイト
https://t.livepocket.jp/e/atticparade
先行抽選：8/22(金) 21:00〜9/1(月) 23:59
一般販売：9/5(金) 20:00",CONFIRMED,,20250822T121831Z
44jp1sjrk0rpp74k6s09o7d4n9@google.com,2025-09-20,2025-09-20,yes,Spotify O-Crest,11:40,12:15,,,,,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,,"9月20日(土)@ 渋谷Spotify O-Crest
Drawry.デビューライブ「first impression」
開場 11:40 / 開演 12:15
チケット 優先入場 3000円/一般 1000円+1D

■チケット抽選サイト
https://t.livepocket.jp/e/drawry01
前売抽選(8/17 19:00-8/24 23:59)
チケット販売：8/26 22:30先着(一般チケットのみ)

僕らの未来、始めよう。",CONFIRMED,,20250825T121641Z
6p7tm36bkf877r894mbdlfsf49@google.com,2025-09-21,2025-09-21,yes,恵比寿CreAto,10:15,10:30,,,,,【イベント】「ソノウチ」,,"【イベント情報】
9月21日(日)@ 恵比寿CreAto
「ソノウチ」
開場 10:15 / 開演 10:30
チケット 前売2,400円/当日2,900円(各+1D)
出演 アップアップガールズ（プロレス） / 個性美術館 / シンダーエラ / セカイシティ / Drawry. / ばたんキュン / PANDAMIC / FLAPSTAR

■チケット販売サイト
https://t.livepocket.jp/e/ebf3z
※チケット発売：9/9(火) 21:00先着",CONFIRMED,,20250908T060242Z
79fu26uj83psaoi0uphnqhakql@google.com,2025-09-23,2025-09-23,yes,新宿LOFT,11:30,12:00,,,,,【イベント】会心ノ一撃 pre.「DE•DE•DE•DE•DAY LIVE !!」 supported by NEW AGE,,"9月23日(火・祝)@ 新宿LOFT
会心ノ一撃 pre.「DE•DE•DE•DE•DAY LIVE !!」
supported by NEW AGE
開場 11:30 / 開演 12:00
チケット 前売2,800円/当日3,500円(各+1D)
出演 会心ノ一撃 / SAKA-SAMA / yumegiwa last girl  / ROY Limited GIRLFRIEND / may in film / Drawry. / Lion net girl

■チケット販売サイト
https://t-dv.com/dededededaylive
※チケット発売：9/12(金) 22:00先着",CONFIRMED,,20250911T133011Z
19rdbf410ch4jvefjqe0err42o@google.com,2025-09-23,2025-09-23,yes,SHIBUYA RING,15:00,15:30,,,,,【イベント】「LEADING SUNNY」,,"9月23日(火・祝)@ SHIBUYA RING
「LEADING SUNNY」
開場 15:00/  開演 15:30
チケット 前売1,500円(各+1D)
出演 OLNew / selfish / Tohkei / にっぽんワチャチャ / Drawry. / Payrin's

■チケット販売サイト
https://ticketvillage.jp/events/13556
※チケット発売: 9/20(土)22:00先着",CONFIRMED,,20250920T131847Z
78iudvis1fsp8dc5ugsf1cjbmp@google.com,2025-09-27,2025-09-27,yes,SHIBUYA CYCLONE,11:30,12:00,,,,,【イベント】「ベルハー・イン・ザ・ダーク vol.4」,,"9月27日(土)@ SHIBUYA CYCLONE
「ベルハー・イン・ザ・ダーク vol.4」
開場 11:30 / 開演 12:00
チケット 前売2,500円+1D
出演 BELLRING少女ハート / Drawry.(オープニングゲスト)
※ベルハー・イン・ザ・ダーク ルールはBELLRING少女ハート様の出演時間のみ適用となります。

■チケット販売サイト
https://t.livepocket.jp/e/cnswb
※チケット発売：9/9(火) 22:00先着",CONFIRMED,,20250908T030101Z
0uf0o3j5hen17n5hgfvb83rd2e@google.com,2025-09-28,2025-09-28,yes,Flowers Loft,10:45,11:00,,,,,【イベント】INFINITY LIVE presents『THE PRISMING vol.32』,,"9月28日(日)@ 下北沢Flowers Loft
INFINITY LIVE presents『THE PRISMING vol.32』
開場 10:45 / 開演 11:00
チケット 前売2,300円/当日2,800円(各+1D)
出演 メルクマールメルマール / 夢みるアドレセンス  / POPPiNG EMO / ponderosa may bloom / キキレイレイ / ハチキュウ / えくすくらめーしょん！ / Drawry.

■チケット販売サイト
https://t.livepocket.jp/e/20250928_day
※チケット発売：9/9(火) 22:00先着",CONFIRMED,,20250908T130718Z
5ujs63mf2bkjq9kj237ndle529@google.com,2025-10-03,2025-10-03,yes,新宿MARZ,18:30,19:00,,,,,【イベント】UNIVERSE企画『NEW ORDER』,,"10月3日(金)@ 新宿MARZ
UNIVERSE企画『NEW ORDER』
開場 18:30 / 開演 19:00
チケット 前売1,900円/当日2,400円(各+1D)
出演 Drawry. / NUANCE / vividbird / yumegiwa last girl

■チケット販売サイト
https://t.livepocket.jp/e/aanrl
※チケット発売：9/9(火) 22:00先着",CONFIRMED,,20250908T130145Z
3hlkt7vfhjk7ve2kb5aumb08j4@google.com,2025-10-05,2025-10-05,yes,Flowers Loft,16:30,17:00,,,,,【イベント】『アネモネ』,,"10月5日(日)@ 下北沢Flowers Loft
『アネモネ』
開場 16:30 / 開演 17:00
チケット 前売2,500円/当日3,500円(各+1D)
出演  may in film / il pleut / MID POP / ponderosa may bloom / トナリア / ピューパ!!  / ブルベア / nicora ray ark / Drawry.

■チケット販売サイト
https://t.livepocket.jp/e/anemone1005
※チケット発売：9/16(火) 22:00先着",CONFIRMED,,20250915T130422Z
2uogrkev03oq9bjvpuvjqtpjum@google.com,2025-10-11,2025-10-11,yes,TwinBoxGARAGE,11:30,12:00,12:50,13:15,14:15,15:15,【イベント】「あきばのともだち」,,"10月11日(土)@ TwinBoxGARAGE
「あきばのともだち」
開場 11:30/ 開演 12:00
チケット 前売1,500円 当日 2,000円(各+1D)
出演 il pleut / ROY Limited GIRLFRIEND / Drawry. / may in film / ラストブルー

ライブ 12:50~13:15
特典会 14:15~15:15

■チケット販売サイト
https://t-dv.com/bestfriendakibaday
※チケット発売: 10/7(火)21:00先着",CONFIRMED,,20251007T090054Z
