event_date,live_start,showtime,event_uid,position,song,is_se,is_interlude,is_encore,note,venue,post_event_name,calendar_summary,source_file
2025-09-13,12:30,12:00,1cd5nd8bicv5rt12h9no8andke@google.com,1,"Dear,History",no,no,no,,Veats SHIBUYA,airattic presents 「ATTIC PARADE」,【プレデビューイベント】airattic presents 「ATTIC PARADE」,2025-09-13_manual.txt
2025-09-13,12:30,12:00,1cd5nd8bicv5rt12h9no8andke@google.com,2,ルミナス,no,no,no,,Veats SHIBUYA,airattic presents 「ATTIC PARADE」,【プレデビューイベント】airattic presents 「ATTIC PARADE」,2025-09-13_manual.txt
2025-09-20,12:15,12:15,44jp1sjrk0rpp74k6s09o7d4n9@google.com,1,SE,yes,no,no,,Spotify O-Crest,Drawry.デビューライブ「first impression」,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,2026-08-17.txt
2025-09-20,12:15,12:15,44jp1sjrk0rpp74k6s09o7d4n9@google.com,2,"Dear,History",no,no,no,,Spotify O-Crest,Drawry.デビューライブ「first impression」,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,2026-08-17.txt
2025-09-20,12:15,12:15,44jp1sjrk0rpp74k6s09o7d4n9@google.com,3,Blooming,no,no,no,,Spotify O-Crest,Drawry.デビューライブ「first impression」,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,2026-08-17.txt
2025-09-20,12:15,12:15,44jp1sjrk0rpp74k6s09o7d4n9@google.com,4,Moving Lights!,no,no,no,,Spotify O-Crest,Drawry.デビューライブ「first impression」,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,2026-08-17.txt
2025-09-20,12:15,12:15,44jp1sjrk0rpp74k6s09o7d4n9@google.com,5,ルミナス,no,no,no,,Spotify O-Crest,Drawry.デビューライブ「first impression」,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,2026-08-17.txt
2025-09-20,12:15,12:15,44jp1sjrk0rpp74k6s09o7d4n9@google.com,6,朝焼けと車窓,no,no,no,,Spotify O-Crest,Drawry.デビューライブ「first impression」,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,2026-08-17.txt
2025-09-20,12:15,12:15,44jp1sjrk0rpp74k6s09o7d4n9@google.com,7,プライマリ,no,no,no,,Spotify O-Crest,Drawry.デビューライブ「first impression」,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,2026-08-17.txt
2025-09-20,12:15,12:15,44jp1sjrk0rpp74k6s09o7d4n9@google.com,8,"Dear,History",no,no,yes,,Spotify O-Crest,Drawry.デビューライブ「first impression」,【イベント】Drawry.デビューライブ「first impression」@渋谷Spotify O-Crest,2026-08-17.txt
