venue,shows,first_played,last_played
新宿MARZ,14,2025-10-03,2026-06-28
Flowers Loft,12,2025-09-28,2026-04-26
下北沢MOSAiC,11,2025-10-12,2026-08-09
渋谷近未来会館,7,2026-03-02,2026-08-28
Spotify O-Crest,6,2025-09-20,2026-05-30
SHIBUYA RING,5,2025-09-23,2026-07-25
大塚Hearts+,5,2025-10-21,2026-02-28
銀座BASE GRANBELL,5,2026-02-01,2026-07-26
DESEO mini with VILLAGE VANGUARD,4,2025-12-28,2026-02-21
下北沢シャングリラ,4,2025-12-31,2026-07-27
恵比寿CreAto,4,2025-09-21,2026-08-13
新宿LOFT,4,2025-09-23,2026-06-14
Shibuya Milkyway,3,2026-06-10,2026-08-27
下北沢SHELTER,3,2026-03-15,2026-06-22
四谷LOTUS,3,2025-11-01,2026-03-01
渋谷WOMB,3,2025-12-01,2026-07-04
渋谷チェルシーホテル,3,2026-02-05,2026-07-11
青山RizM,3,2025-12-20,2026-05-17
SHIBUYA CLUB QUATTRO,2,2026-04-22,2026-05-20
SHIBUYA CYCLONE,2,2025-09-27,2025-12-21
TwinBoxGARAGE,2,2025-10-11,2025-11-03
いわき湯本温泉 旅館こいと,2,2026-04-18,2026-04-19
アメリカ村BEYOND,2,2026-05-09,2026-07-19
三崎公園野外音楽堂,2,2026-05-23,2026-05-24
京都ROKA,2,2026-01-23,2026-05-08
大塚Hearts Next,2,2025-10-18,2026-01-18
KANDA SQUARE HALL,1,2026-07-05,2026-07-05
LIVLIV(静岡ARTIE),1,2026-08-16,2026-08-16
SHIBUYA DESEO,1,2026-02-23,2026-02-23
SHIBUYA PLEASURE PLEASURE,1,2026-07-02,2026-07-02
SUPERNOVA KAWASAKI,1,2025-11-30,2025-11-30
Spotify O-WEST,1,2026-01-03,2026-01-03
Spotify O-nest,1,2026-01-04,2026-01-04
Studio Freedom,1,2026-07-12,2026-07-12
TFTホール300,1,2026-06-27,2026-06-27
Veats SHIBUYA,1,2025-09-13,2025-09-13
YOANI LIVE STATION,1,2025-12-29,2025-12-29
Zirco Tokyo,1,2026-07-22,2026-07-22
お台場R地区,1,2026-08-15,2026-08-15
アメリカ村DROP,1,2026-07-17,2026-07-17
タワーレコード新宿店,1,2026-03-20,2026-03-20
ベルサール渋谷ガーデン,1,2025-11-29,2025-11-29
下北沢ADRIFT,1,2025-12-20,2025-12-20
大塚FUTURE:,1,2026-04-11,2026-04-11
心斎橋SUNHALL,1,2026-07-18,2026-07-18
新代田FEVER,1,2026-07-09,2026-07-09
新宿Marble,1,2026-01-27,2026-01-27
時事通信ホール,1,2026-08-22,2026-08-22
池袋リヴォイス,1,2026-02-22,2026-02-22
渋谷CLUB CRAWL,1,2026-03-07,2026-03-07
渋谷GRIT,1,2026-08-10,2026-08-10
渋谷音楽堂,1,2026-06-21,2026-06-21
白金高輪SELENE b2,1,2026-02-14,2026-02-14
神田CLUB F#,1,2025-10-13,2025-10-13
表参道GROUND,1,2025-12-14,2025-12-14
高円寺HIGH,1,2025-11-11,2025-11-11
