name,slug,address,capacity
新宿MARZ,shinjuku-marz,〒160-0021 新宿区歌舞伎町2-45-1 第1トキワビルB1F,
Flowers Loft,flowers-loft,〒155-0031 世田谷区北沢2丁目24-5 SHIMOKITA FRONT B1,
下北沢MOSAiC,shimokitazawa-mosaic,〒155-0031 世田谷区北沢2-2-14 モアイ茶沢1F・B1,
Spotify O-Crest,spotify-o-crest,〒150-0043 渋谷区道玄坂2-14-8 5F,
SHIBUYA RING,shibuya-ring,〒150-0043 渋谷区道玄坂2-21-7 第8矢澤ビル 2F 3F,
大塚Hearts+,otsuka-hearts-plus,〒170-0004 豊島区北大塚2-16-7 セイコーガーデン11大塚 B1,
渋谷近未来会館,shibuya-kinmirai-kaikan,〒150-0002 渋谷区渋谷1-11-1 ヒューリック渋谷美竹通りビルB1,
銀座BASE GRANBELL,ginza-base-granbell,〒104-0061 中央区銀座7丁目2番18号 グランベルスクエアB2F,
DESEO mini with VILLAGE VANGUARD,deseo-mini-with-village-vanguard,〒150-0043 渋谷区道玄坂2-13-5 ハーベストビルディング2F,
下北沢シャングリラ,shimokitazawa-shangri-la,〒155-0031 世田谷区北沢2丁目4-5 mosia B1,
恵比寿CreAto,ebisu-creato,〒150-0011 渋谷区東3丁目14-19 オークヒルズ B1F,
新宿LOFT,shinjuku-loft,〒160-0021 新宿区歌舞伎町1-12-9 タテハナビルB2,
下北沢SHELTER,shimokitazawa-shelter,〒155-0031 世田谷区北沢2-6-10 仙田ビルB1,
四谷LOTUS,yotsuya-lotus,〒160-0004 新宿区四谷3-4-3 SCビルB1,
渋谷WOMB,shibuya-womb,〒150-0044 渋谷区円山町2-16,
渋谷チェルシーホテル,shibuya-chelsea-hotel,〒150-0042 渋谷区宇田川町4-7 トウセン宇田川ビルB1,
青山RizM,aoyama-rizm,〒107-0061 港区北青山1-4-5 VORT青山1丁目Dual's B1F,
SHIBUYA CLUB QUATTRO,shibuya-club-quattro,〒150-0042 渋谷区宇田川町32-13 4・5F,
SHIBUYA CYCLONE,shibuya-cyclone,〒150-0042 渋谷区宇田川町13-16 国際ビルA館B2,
Shibuya Milkyway,shibuya-milkyway,〒150-0042 渋谷区宇田川町4-7 トウセン宇田川ビル3F,
TwinBoxGARAGE,twinbox-garage,〒101-0021 千代田区外神田3-2-12 Box'R AKIBAビル1F,
いわき湯本温泉 旅館こいと,iwaki-yumoto-onsen-ryokan-koito,〒972-8321 福島県いわき市常磐湯本町笠井1番地,
アメリカ村BEYOND,amerikamura-beyond,〒542-0086 大阪府大阪市中央区西心斎橋2-18-9 リアライズ西心斎橋 B2F,
三崎公園野外音楽堂,misaki-koen-yagai-ongakudo,〒970-0316 福島県いわき市小名浜下神白字大作33,
京都ROKA,kyoto-roka,〒604-8416 京都府京都市中京区西ノ京星池町214,
大塚Hearts Next,otsuka-hearts-next,〒170-0004 豊島区北大塚2-16-8 バロックコート大塚B1F,
KANDA SQUARE HALL,kanda-square-hall,〒101-0054 千代田区神田錦町2-2-1,
LIVLIV(静岡ARTIE),livliv-shizuoka-artie,〒420-0035 静岡県静岡市葵区七間町4-3（ARTIE内）,
SHIBUYA DESEO,shibuya-deseo,〒150-0043 渋谷区道玄坂2-13-5 ハーベストビルディングB1F,
SHIBUYA PLEASURE PLEASURE,shibuya-pleasure-pleasure,〒150-0043 渋谷区道玄坂2-29-5 渋谷プライム6F,
SUPERNOVA KAWASAKI,supernova-kawasaki,〒212-0014 神奈川県川崎市幸区大宮町1-13,
Spotify O-WEST,spotify-o-west,〒150-0044 渋谷区円山町2-3 2F,
Spotify O-nest,spotify-o-nest,〒150-0044 渋谷区円山町2-3 WESTビル6F,
Studio Freedom,studio-freedom,〒150-0043 渋谷区道玄坂2-23-12 フォンティスビル2F,
TFTホール300,tft-hall-300,〒135-0063 江東区有明3-4-10 TFTビル西館2F,
Veats SHIBUYA,veats-shibuya,〒150-0042 渋谷区宇田川町33-1 グランド東京渋谷ビルB1・B2,
YOANI LIVE STATION,yoani-live-station,〒169-0072 新宿区大久保1-11-3 大東ビルB1F,
Zirco Tokyo,zirco-tokyo,〒160-0021 新宿区歌舞伎町1-2-5 東陽ビルB2F,
お台場R地区,odaiba-r-chiku,,
アメリカ村DROP,amerikamura-drop,〒542-0086 大阪市中央区西心斎橋2-18-9 リアライズ西心斎橋B1F,
タワーレコード新宿店,tower-records-shinjuku,〒160-0022 新宿区新宿3-37-1 フラッグス9F〜10F,
ベルサール渋谷ガーデン,bellesalle-shibuya,〒150-0036 渋谷区南平台町16-17 住友不動産渋谷ガーデンタワー1F・B1,
下北沢ADRIFT,shimokitazawa-adrift,〒155-0031 世田谷区北沢3-9-23,
大塚FUTURE:,otsuka-future,〒170-0004 豊島区北大塚2-13-1 ba07 B1F,
心斎橋SUNHALL,shinsaibashi-sunhall,〒542-0086 大阪市中央区西心斎橋2-9-28 ビッグステップサウスB2,
新代田FEVER,shindaita-fever,〒156-0042 世田谷区羽根木1-1-14 新代田ビル1F,
新宿Marble,shinjuku-marble,〒160-0021 新宿区歌舞伎町2-45-2 カイダ第3ジャストビルB1F,
池袋リヴォイス,ikebukuro-revoice,〒171-0014 豊島区池袋2-12-9 広瀬ビルB1,
渋谷CLUB CRAWL,shibuya-club-crawl,〒150-0011 渋谷区東1-25-2 マルハシビルB1,
渋谷GRIT,shibuya-grit,〒150-0043 渋谷区道玄坂2-23-12 フォンティスビルB1F,
渋谷音楽堂,shibuya-ongakudo,〒150-0042 渋谷区宇田川町4-3 lyf Shibuya Tokyo B1,
白金高輪SELENE b2,shirokanetakanawa-selene-b2,〒108-0073 港区三田5-2-30 SELENE STUDIO,
神田CLUB F#,kanda-club-f-sharp,〒101-0044 千代田区鍛冶町1-4-3 竹内ビルB1,
表参道GROUND,omotesando-ground,〒150-0001 渋谷区神宮前4-2-12 WES B1F,
高円寺HIGH,koenji-high,〒166-0003 杉並区高円寺南4-30-1,
